symbol,name,data_days,total_return,annual_return,max_drawdown,sharpe,win_rate,profit_factor,total_trades,total_pnl,error
AU,黄金,969,24.901999999999997,5.72849685070822,4.958805887827915,0.6671738022475836,50.0,12.724105461393636,12,249020.0,
AG,白银,969,9.118652249999997,2.2102044647060337,3.1055278672274875,-0.21139313684030042,40.0,4.190014984266652,10,91186.52249999996,
CU,沪铜,969,6.710097499999986,1.6402906176412824,4.199972366938449,-0.3736084735328665,55.55555555555556,2.867073141040579,9,67100.97499999986,
JM,焦煤,969,1.2092112000000081,0.30156216462238206,1.7726665618798665,-2.131266397919865,66.66666666666666,3.1578129700988997,3,12092.112000000081,
CF,棉花,969,1.0089000000000001,0.2517943507897247,1.0787230782556907,-3.7940049434472924,60.0,2.9274415405777168,5,10089.0,
PP,聚丙烯,969,0.6592,0.1647329442984624,0.5618998696012961,-6.469860476712573,100.0,inf,1,6592.0,
RB,螺纹钢,969,0.6251957999999984,0.15625516270749706,0.6436772404449775,-4.419333264774484,33.33333333333333,6.170898859119354,3,6251.957999999984,
FG,玻璃,969,0.1924,0.0481643263227749,0.5530543049302429,-4.919880626255361,66.66666666666666,6.795180722891566,3,1924.0,
J,焦炭,969,0.05178299999999581,0.012969889054037509,1.5238356299212639,-3.012972248184032,100.0,inf,1,517.8299999999581,
SR,白糖,969,-0.1116,-0.02796914658487193,1.3615464829678317,-4.587746438258528,20.0,0.8803088803088803,5,-1116.0,
C,玉米,969,-0.17016000000000933,-0.04265479994162158,0.6721570352009985,-5.060274626505414,50.0,0.7272377532700693,4,-1701.6000000000931,
TA,PTA,969,-0.45199999999999996,-0.11342497464964518,0.5263610492823532,-9.08830733888886,33.33333333333333,0.12909441233140656,3,-4520.0,
